path,label
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard391.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal218.jpg,5
garbage_dataset/Garbage classification/Garbage classification/paper/paper98.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass56.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper487.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper368.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper480.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal144.jpg,5
garbage_dataset/Garbage classification/Garbage classification/paper/paper444.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic250.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass27.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper344.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal80.jpg,5
garbage_dataset/Garbage classification/Garbage classification/paper/paper353.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal403.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass360.jpg,1
garbage_dataset/Garbage classification/Garbage classification/trash/trash89.jpg,6
garbage_dataset/Garbage classification/Garbage classification/paper/paper229.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal86.jpg,5
garbage_dataset/Garbage classification/Garbage classification/paper/paper575.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic217.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper178.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic476.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass317.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper519.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal233.jpg,5
garbage_dataset/Garbage classification/Garbage classification/paper/paper123.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic19.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal339.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass376.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard373.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper537.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard86.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass185.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass361.jpg,1
garbage_dataset/Garbage classification/Garbage classification/metal/metal67.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass26.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper358.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper200.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper205.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic368.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper594.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper59.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic127.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard380.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal64.jpg,5
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard317.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass47.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic20.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal389.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass90.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper437.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass165.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard252.jpg,3
garbage_dataset/Garbage classification/Garbage classification/trash/trash22.jpg,6
garbage_dataset/Garbage classification/Garbage classification/paper/paper186.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal157.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic21.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass3.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic16.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass337.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard41.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass309.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper153.jpg,2
garbage_dataset/Garbage classification/Garbage classification/trash/trash54.jpg,6
garbage_dataset/Garbage classification/Garbage classification/paper/paper319.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper94.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic290.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal385.jpg,5
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard316.jpg,3
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard102.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper426.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass102.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper165.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic321.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard100.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass432.jpg,1
garbage_dataset/Garbage classification/Garbage classification/trash/trash68.jpg,6
garbage_dataset/Garbage classification/Garbage classification/paper/paper339.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal300.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic456.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard20.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass69.jpg,1
garbage_dataset/Garbage classification/Garbage classification/metal/metal40.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic332.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard349.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic258.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper197.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard325.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic382.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard314.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic304.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard215.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper128.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic247.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper356.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass367.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass186.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic15.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass496.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard171.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass219.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic196.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper343.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass498.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard9.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper570.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic200.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard45.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass452.jpg,1
garbage_dataset/Garbage classification/Garbage classification/trash/trash6.jpg,6
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard186.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper21.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper155.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass1.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard23.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass321.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass470.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic266.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass39.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic178.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic461.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass168.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper438.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper551.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic99.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal355.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic249.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper427.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal93.jpg,5
garbage_dataset/Garbage classification/Garbage classification/metal/metal156.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass182.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard366.jpg,3
garbage_dataset/Garbage classification/Garbage classification/trash/trash107.jpg,6
garbage_dataset/Garbage classification/Garbage classification/paper/paper52.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper167.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal150.jpg,5
garbage_dataset/Garbage classification/Garbage classification/trash/trash55.jpg,6
garbage_dataset/Garbage classification/Garbage classification/glass/glass226.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass18.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper486.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper190.jpg,2
garbage_dataset/Garbage classification/Garbage classification/metal/metal352.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic153.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard68.jpg,3
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic233.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic192.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic94.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal335.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass132.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic8.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass124.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard179.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass2.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard58.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass89.jpg,1
garbage_dataset/Garbage classification/Garbage classification/metal/metal379.jpg,5
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic280.jpg,4
garbage_dataset/Garbage classification/Garbage classification/metal/metal134.jpg,5
garbage_dataset/Garbage classification/Garbage classification/trash/trash25.jpg,6
garbage_dataset/Garbage classification/Garbage classification/paper/paper478.jpg,2
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic17.jpg,4
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard6.jpg,3
garbage_dataset/Garbage classification/Garbage classification/metal/metal23.jpg,5
garbage_dataset/Garbage classification/Garbage classification/metal/metal196.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass246.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass290.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard155.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass199.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper58.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass86.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass222.jpg,1
garbage_dataset/Garbage classification/Garbage classification/trash/trash70.jpg,6
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic1.jpg,4
garbage_dataset/Garbage classification/Garbage classification/glass/glass279.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard182.jpg,3
garbage_dataset/Garbage classification/Garbage classification/paper/paper255.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass159.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper436.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard57.jpg,3
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard133.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass365.jpg,1
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard111.jpg,3
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard175.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass254.jpg,1
garbage_dataset/Garbage classification/Garbage classification/metal/metal163.jpg,5
garbage_dataset/Garbage classification/Garbage classification/glass/glass92.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper217.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper236.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass399.jpg,1
garbage_dataset/Garbage classification/Garbage classification/glass/glass49.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic139.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic316.jpg,4
garbage_dataset/Garbage classification/Garbage classification/paper/paper175.jpg,2
garbage_dataset/Garbage classification/Garbage classification/glass/glass451.jpg,1
garbage_dataset/Garbage classification/Garbage classification/paper/paper65.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard303.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass484.jpg,1
garbage_dataset/Garbage classification/Garbage classification/trash/trash49.jpg,6
garbage_dataset/Garbage classification/Garbage classification/paper/paper103.jpg,2
garbage_dataset/Garbage classification/Garbage classification/paper/paper63.jpg,2
garbage_dataset/Garbage classification/Garbage classification/cardboard/cardboard73.jpg,3
garbage_dataset/Garbage classification/Garbage classification/glass/glass208.jpg,1
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic318.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic76.jpg,4
garbage_dataset/Garbage classification/Garbage classification/plastic/plastic179.jpg,4
